Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.114258,0.176758,0.849854,0.213740,1.007634,9.038168,3,1445474436.220707
0.107422,0.174805,0.858643,0.625954,3.450382,-0.015267,3,1445474436.225192
0.109131,0.180176,0.857178,-0.015267,2.946565,8.244275,3,1445474436.251300
0.107666,0.177490,0.855713,1.404580,-1.343511,7.053435,3,1445474436.281252
0.108398,0.175537,0.857910,-3.267176,-0.763359,-2.549618,3,1445474436.311263
0.108887,0.175537,0.867432,-1.755725,-0.274809,9.603053,3,1445474436.341532
0.108154,0.177979,0.862793,0.458015,-9.465649,-1.969466,3,1445474436.401353
0.110352,0.174316,0.860107,-0.549618,-2.717557,4.687023,3,1445474436.431233
0.113770,0.176758,0.854736,-1.358779,3.053435,-0.076336,3,1445474436.461355
0.108887,0.173340,0.863037,-0.870229,31.160305,1.175573,3,1445474436.491264
0.106689,0.174561,0.862793,-1.068702,-3.603053,-4.977099,3,1445474436.521373
0.111328,0.172607,0.868652,-3.312977,-0.748092,-0.244275,3,1445474436.551321
0.112549,0.173340,0.864502,-3.114504,5.007634,1.893130,3,1445474436.581350
0.108398,0.174561,0.056396,-5.099236,5.984733,0.549618,3,1445474436.611311
0.111084,0.174072,0.867676,30.946566,4.427481,-5.450382,3,1445474436.641299
0.104736,0.170654,0.874023,-1.694656,10.580153,4.580153,3,1445474436.730906
0.109131,0.170166,0.893799,-3.770992,-5.557252,-2.732824,3,1445474436.735219
0.104248,0.182861,0.886719,-2.549618,3.541985,8.335877,3,1445474436.735695
0.115967,0.140137,0.962646,-5.374046,3.740458,-3.557252,3,1445474436.761878
0.108643,0.167236,0.054199,2.167939,-4.687023,1.343511,3,1445474436.791394
0.008057,0.174805,0.917969,13.664123,-3.419847,0.305344,3,1445474436.821450
0.277100,0.345947,1.424316,76.687019,-31.893129,-13.465649,3,1445474436.880729
0.925049,-0.515625,0.047852,86.458015,119.709923,-171.526718,3,1445474436.885234
0.490967,-0.835693,0.455078,6.534351,85.557251,-133.984726,3,1445474436.911390
0.559570,-0.306152,0.267822,-14.137404,7.633588,-79.847328,3,1445474436.941257
0.605713,-0.206787,0.442383,-24.335878,-79.740456,-37.954197,3,1445474436.972132
0.587891,-0.167236,0.757080,-31.740458,24.839695,-16.274809,3,1445474437.001384
0.539307,-0.075439,0.841064,-55.725189,-63.190838,-27.038168,3,1445474437.031235
0.479736,-0.055664,0.722656,-91.618324,-39.816795,-41.068703,3,1445474437.061373
0.436523,0.076660,0.753174,-101.954201,-61.251907,-61.832062,3,1445474437.091375
0.233887,0.307373,0.762451,-82.213737,-66.519081,-77.099236,3,1445474437.121355
0.041748,0.379639,0.891113,-48.656490,-58.015266,-72.473282,3,1445474437.151418
-0.639160,1.601562,2.681641,249.954193,-64.045799,-156.793900,3,1445474437.181331
-0.598877,-0.198730,0.318604,-54.061069,12.748092,-107.251907,3,1445474437.211331
-2.008057,0.598633,0.071533,-164.503815,15.633588,-22.900763,3,1445474437.241405
-2.507324,0.645264,2.055664,51.083969,115.114502,-100.473282,3,1445474437.271335
0.100342,0.165527,0.880859,28.931297,-13.984733,14.473283,3,1445474437.301373
0.143311,0.172119,0.936523,35.297710,40.732826,-0.381679,3,1445474437.331296
0.095947,0.189453,0.853516,0.793893,6.381680,-17.450382,3,1445474437.391331
0.096924,0.194336,0.864746,3.694656,5.511450,-12.244275,3,1445474437.421418
0.098389,0.186035,0.848877,1.862595,4.900764,-0.442748,3,1445474437.451429
0.098145,0.194580,0.839600,3.709924,-2.412214,9.938931,3,1445474437.481401
0.093018,0.195801,0.843262,4.427481,14.595420,-14.427481,3,1445474437.511428
0.093018,0.196289,0.870117,-7.190840,22.045801,-3.236641,3,1445474437.541427
0.093262,0.197021,0.864502,2.290076,4.809160,2.167939,3,1445474437.571446
0.006348,0.198242,0.857910,-0.824427,13.511451,30.687023,3,1445474437.601545
0.007324,0.193848,0.855225,-1.664122,2.854962,6.870229,3,1445474437.631410
0.089111,0.190918,0.850586,-1.343511,3.633588,9.511451,3,1445474437.660991
0.088623,0.192871,0.852295,-3.587786,11.083969,1.648855,3,1445474437.691310
0.088867,0.192871,0.858887,-2.625954,11.374045,-1.175573,3,1445474437.721351
0.085693,0.194092,0.862305,-3.572519,10.992367,4.625954,3,1445474437.751348
0.078369,0.189941,0.870117,-2.061069,11.175572,2.763359,3,1445474437.781369
0.075928,0.191650,0.861328,-7.175572,5.603054,-8.793893,3,1445474437.811373
0.078125,0.190918,0.055908,-28.290077,-0.366412,-1.770992,3,1445474437.841460
0.080322,0.169434,0.895020,-29.053434,5.984733,-19.694656,3,1445474437.901435
0.059326,0.160400,0.842773,-28.412214,-9.480916,5.450382,3,1445474437.931425
0.024170,0.124023,0.726318,-42.641220,0.656489,10.992367,3,1445474437.961376
0.104980,0.121582,0.966553,9.893129,35.847328,-3.709924,3,1445474437.991447
0.005859,0.039062,0.649902,14.335877,38.091602,-1.206107,3,1445474438.021567
0.002686,0.059326,0.669678,17.083969,-44.595421,16.931297,3,1445474438.051439
0.163574,0.266602,1.507080,-12.519084,-81.206108,29.694656,3,1445474438.081351
0.546875,0.209961,3.347656,21.267176,111.877861,-2.732824,3,1445474438.111411
0.989258,0.239502,2.560547,70.091606,250.129776,-41.251907,3,1445474438.141474
0.963135,0.170410,1.559326,131.557251,250.129776,-54.137405,3,1445474438.171368
1.637207,-1.048096,2.727783,56.366413,250.129776,8.610687,3,1445474438.201417
0.628662,-0.035889,0.854492,-112.198471,250.129776,119.374046,3,1445474438.231390
0.722168,-0.284912,0.250000,-64.977097,15.633588,171.267181,3,1445474438.261490
1.412109,-0.018799,1.380859,150.076340,-209.893127,39.862595,3,1445474438.291458
1.098877,-0.243652,0.650879,-53.236641,15.633588,37.099236,3,1445474438.321459
0.653320,-0.077881,0.805908,25.893129,-205.893127,13.312977,3,1445474438.351393
1.292969,0.747070,2.673828,-235.633591,-167.145035,-98.946564,3,1445474438.381388
0.358398,-0.703125,1.196045,-167.740463,15.633588,28.106871,3,1445474438.411466
-0.183350,0.487061,2.004639,-81.633591,15.633588,32.473282,3,1445474438.441833
-1.192139,0.800049,-0.242676,-167.496185,15.603053,-7.389313,3,1445474438.471893
-3.180420,-0.932373,3.999878,54.916031,-49.129772,24.106871,3,1445474438.501521
-3.820312,3.728516,2.052246,168.641220,159.251907,-151.511444,3,1445474438.531377
0.073730,0.488281,1.065186,87.404579,20.977098,-14.519084,3,1445474438.561480
0.093018,0.184570,0.818115,56.335876,20.580153,-24.366413,3,1445474438.591484
0.074219,0.232666,0.828369,6.122138,6.473282,-12.748092,3,1445474438.621435
0.007324,0.212891,0.846924,-1.832061,-1.541985,-8.549619,3,1445474438.651780
0.091064,0.205078,0.866943,2.870229,4.809160,-3.251908,3,1445474438.681471
